Descriptores,Producto interno bruto|2013|Valor bruto de la producción<P>,Producto interno bruto|2013|Consumo intermedio<P>,Producto interno bruto|2013|Total<P>,"Producto interno bruto|2013|Remuneraciones<C1,P>",Producto interno bruto|2013|Excedente bruto de operación<P>,Producto interno bruto|2013|Impuestos netos de subsidios sobre la producción<P>,Producto interno bruto|2018|Valor bruto de la producción<P>,Producto interno bruto|2018|Consumo intermedio<P>,Producto interno bruto|2018|Total<P>,"Producto interno bruto|2018|Remuneraciones<C1,P>",Producto interno bruto|2018|Excedente bruto de operación<P>,Producto interno bruto|2018|Impuestos netos de subsidios sobre la producción<P>
Participación porcentual|Total|Grupos empresariales|Núcleo cooperativista,85.76409996015757,93.18762243231737,74.6729557251354,44.01169724474157,90.19423525098226,NA,84.07474274917486,85.74907088749995,82.19975395128797,41.588189347004636,91.5490159538835,NA
Participación porcentual|Total|Grupos empresariales|Empresas el servicio de la economía social,14.235897178751367,6.812374852081956,25.327041196403027,55.98830275525841,9.805760127270291,NA,15.925257250825133,14.250929112500044,17.800246048712033,58.41181065299538,8.450984046116503,NA
Participación porcentual|Total|Otros,0.1520994858371457,0.2601893119570141,0.09651212686408664,0.23795946648926733,0.05936092843378251,NA,0.4269566600421303,0.17078303088010402,0.5501034919970381,0.13072529750851225,0.6812302985607238,NA
Distribución porcentual|Total,100,33.961580498527866,66.03841950147213,14.231120684399011,51.827804922543024,-0.02050610546987485,99.99999999999997,32.46511711819965,67.53488288180031,15.798525801863311,51.75841068331287,-0.022053603375875707
Distribución porcentual|Total|Ejidos<C2>,99.99999999999999,31.21409296682188,68.7859070331781,15.282013174853477,53.504328014122635,NS,99.99999999999997,32.09368950556517,67.9063104944348,17.459710369793346,50.446504398581915,NS
Distribución porcentual|Total|Comunidades<C2>,100.00000000000001,30.584345040330437,69.41565495966958,31.160173394823744,38.25296207268095,NS,99.99999999999999,33.34174563394444,66.65825436605554,24.442354646168003,42.2333869696768,NS
Distribución porcentual|Total|Sociedades de Producción Rural<C3>,100.00000000000001,69.85142035190268,30.148579648097336,7.243757901195324,22.71068438330228,0.19413736359972392,99.99999999999999,53.27573712847642,46.724262871523564,11.833992078452647,34.80685985905008,0.08341093402084483
Distribución porcentual|Total|Sociedades de Solidaridad Social,99.99999999999999,43.850505588913286,56.1494944110867,19.945200523904187,36.30517336437425,-0.100879477191733,99.99999999999999,57.453006015672734,42.54699398432725,13.30222655676643,27.57034914273327,1.6744182848275393
Distribución porcentual|Total|Sociedades Cooperativas,100.00000000000006,52.9719373542268,47.02806264577325,17.043481822298865,30.51182476332597,-0.5272439398515925,99.99999999999997,54.78916315852805,45.210836841471924,17.09298495383284,28.483433370350326,-0.36558148271124175
Distribución porcentual|Total|Sociedades Cooperativas de Ahorro y Préstamo,100.00000000000001,12.859881387081625,87.14011861291839,5.228776697716739,81.91134191520163,0,100,2.935219027815813,97.06478097218418,6.055004817813165,91.00977615437097,0
Distribución porcentual|Total|Uniones de crédito,100,57.63647763501112,42.36352236498888,4.788533582369927,37.574988782618966,0,100.00000000000001,76.79190544191943,23.208094558080585,3.7245853016387467,19.48573696261766,NS
Distribución porcentual|Total|Fondo de Aseguramiento Agropecuario y Rural,100,50.45103793065971,49.5489620693403,17.772222826021327,31.77673924331896,0,99.99999999999997,35.082183079964274,64.9178169200357,27.187945055877716,37.729871864157985,0
Distribución porcentual|Total|Sociedades mutualistas,100.00000000000001,44.99214023505307,55.00785976494694,22.940439941948156,32.04323155288695,NS,100,45.65952044516498,54.340479554835014,22.52429072205202,31.78662817162604,NS
Distribución porcentual|Total|Grupos empresariales,100,59.90463890295059,40.09536109704941,13.295194164036321,26.706787903701315,0.0933790293117732,99.99999999999999,52.82675037434046,47.17324962565952,8.95655613816822,38.26843701822805,-0.05174353073673455
Distribución porcentual|Total|Grupos empresariales|Núcleo cooperativista,100,65.08983216317559,34.910167836824414,6.822715572476772,28.086324139162553,NS,99.99999999999999,53.87878231301567,46.121217686984316,4.430426313434927,41.67051407536217,0.02027729818722507
Distribución porcentual|Total|Grupos empresariales|Empresas el servicio de la economía social,100,28.6664655175112,71.3335344824888,52.288615652343424,18.395774615769486,0.649144214375875,99.99999999999999,47.272723006685155,52.72727699331483,32.851504563199356,20.30773792957742,-0.4319654994619496
Distribución porcentual|Total|Otros,100,58.096450584625735,41.90354941537426,22.26457155305474,20.22719933571113,-0.5882214733916051,100.00000000000001,12.986074742988148,87.01392525701186,4.837181800702433,82.5830836304147,-0.40634017410527923
