Descriptores,2013|Valor bruto de la producción<P>,2013|Consumo intermedio<P>,2013|Producto interno bruto<P>,2018|Valor bruto de la producción<P>,2018|Consumo intermedio<P>,2018|Producto interno bruto<P>
"Distribución porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Otros cultivos",100,24.255328957993303,75.74467104200669,100,24.474649114532575,75.52535088546743
"Distribución porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Explotación de bovinos",100,46.85038015612719,53.14961984387282,100,46.72905685249661,53.27094314750338
"Distribución porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Explotación avícola",99.99999999999999,58.864556711984264,41.135443288015736,100,58.11995699666353,41.88004300333647
"Distribución porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Otros<C1>",100,32.07422986026201,67.92577013973802,99.99999999999999,42.547295959414775,57.45270404058521
Distribución porcentual|Minería,100,43.97350821742659,56.0264917825734,100,53.33544835177547,46.66455164822453
"Distribución porcentual|Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final",100,62.75861082299081,37.24138917700919,99.99999999999999,81.14201432785502,18.857985672144963
Distribución porcentual|Construcción,100,56.80066095650446,43.19933904349554,100,56.23895074926647,43.761049250733535
Distribución porcentual|Industrias manufactureras,100,71.45988239836169,28.540117601638297,100,61.79373403455967,38.20626596544032
Distribución porcentual|Comercio al por mayor,100,59.661467384449125,40.338532615550896,100,40.819974531056346,59.180025468943654
Distribución porcentual|Comercio al por menor,100,25.83109547936729,74.16890452063272,100,30.00409040283076,69.99590959716924
"Distribución porcentual|Transportes, correos y almacenamiento",100,63.50697865202027,36.493021347979784,100,57.65377581375345,42.34622418624656
Distribución porcentual|Información en medios masivos,99.99999999999999,53.81265431079243,46.18734568920756,99.99623621513794,26.82449471188227,73.17174150325567
Distribución porcentual|Servicios financieros y de seguros,100,15.260093490283106,84.73990650971687,100,11.630009446608264,88.36999055339173
Distribución porcentual|Servicios financieros y de seguros|Uniones de crédito e instituciones de ahorro,100,14.99688679018632,85.00311320981366,100,11.413944019380164,88.58605598061983
Distribución porcentual|Servicios financieros y de seguros|Otras instituciones de intermediación crediticia y financiera no bursátil,100,67.60508223827344,32.39491776172657,99.99897731688858,41.474913583277086,58.524063733611506
Distribución porcentual|Servicios financieros y de seguros|Instituciones de seguros y fianzas,100,49.56424538610976,50.43575461389023,99.99999999999997,26.20079671545658,73.7992032845434
Distribución porcentual|Servicios financieros y de seguros|Servicios relacionados con los seguros y las fianzas,100,65.19507186858316,34.80492813141684,100,69.89996574978446,30.10003425021554
Distribución porcentual|Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,100,60.301298538271034,39.698701461728966,100,30.425639856772076,69.57436014322792
"Distribución porcentual|Servicios profesionales, científicos y técnicos",100,16.604910577911745,83.39508942208823,100,41.04892731513839,58.951072684861614
"Distribución porcentual|Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",100,33.03356438657539,66.96643561342461,100,36.59166205579367,63.40833794420634
Distribución porcentual|Servicios educativos,100,21.358466145560588,78.6415338544394,99.99960983983925,26.432570570219077,73.56703926962018
Distribución porcentual|Servicios de salud y de asistencia social,100,56.86006029536128,43.139939704638735,100,44.19617828184452,55.80382171815549
"Distribución porcentual|Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",100,42.35729744902721,57.6427025509728,100,49.391172228739784,50.60882777126022
Distribución porcentual|Servicios de alojamiento temporal y de preparación de alimentos y bebidas,100,50.928157732135844,49.071842267864135,100.00024449339745,46.95520147478417,53.04504301861328
Distribución porcentual|Otros servicios excepto actividades gubernamentales,100,66.15830802417103,33.84169197582895,99.99991746948227,42.63625582149639,57.36366164798588
