Descriptores,2013|Valor bruto de la producción<P>,2013|Consumo intermedio<P>,2013|Producto interno bruto|Total<P>,"2013|Producto interno bruto|Remuneraciones<C1,P>",2013|Producto interno bruto|Excedente bruto de operación<P>,2013|Producto interno bruto|Impuestos netos de subsidios sobre la producción<P>,2018|Valor bruto de la producción<P>,2018|Consumo intermedio<P>,2018|Producto interno bruto|Total<P>,"2018|Producto interno bruto|Remuneraciones<C1,P>",2018|Producto interno bruto|Excedente bruto de operación<P>,2018|Producto interno bruto|Impuestos netos de subsidios sobre la producción<P>
"Millones de pesos a precios corrientes|Servicios profesionales, científicos y técnicos",518.86,86.156,432.703,362.813,65.781,4.109,842.009,337.052,504.957,181.626,322.514,0.817
"Millones de pesos a precios corrientes|Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",1122.166,370.691,751.474,582.901,165.039,3.534,1242.656,452.968,789.688,365.381,402.716,21.591
"Millones de pesos a precios corrientes|Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",1468.026,621.816,846.21,493.111,346.084,7.015,1956.713,964.215,992.498,843.312,165.796,-16.61
Millones de pesos a precios corrientes|Servicios de alojamiento temporal y de preparación de alimentos y bebidas,516.473,263.03,253.443,89.361,163.388,0.694,521.324,242.562,278.762,126.379,151.233,1.15
Millones de pesos a precios corrientes|Otros<C2>,1947.964,966.031,981.933,462.353,512.119,7.46,3617.937,1560.065,2057.872,745.331,1282.679,29.862
Participación porcentual|Total,100,100.00000000000001,100,100,100.00000000000004,NA,100,100,99.99999999999997,100.00000000000001,99.99999999999999,NA
"Participación porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",72.047992051375,66.42384096699612,74.94032444257887,82.35727803489931,72.98374484047457,NA,77.10037691638988,78.19847840563521,76.57250166237611,87.11240741190767,73.41627239777179,NA
"Participación porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Agricultura",62.42355408445883,49.606310162022275,68.26599444667194,69.13916031774448,67.89025152760853,NA,61.369119208629485,45.96398832824974,68.93186812289795,68.85493636521487,68.86919247840727,NA
"Participación porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Cría y explotación de animales",27.391274528254975,41.7148058214532,20.862228357079694,23.34913955232259,20.071162484761164,NA,30.223273332386096,45.386139050389275,22.779458207642424,24.807257228430135,22.05045199606959,NA
"Participación porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Aprovechamiento forestal",7.469828245544824,5.511743335745706,8.362375378054733,4.059140491557202,9.682848797701757,NA,5.621277199518884,3.9817870665979216,6.426142300567361,3.3085199332702415,7.546839093975129,NA
"Participación porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Pesca, caza y captura",2.656464564503657,3.063210395314805,2.4710590066884466,3.3648813415913703,2.332738607957081,NA,2.3936969811176736,4.012453665627647,1.5990104280917248,2.7360256465318087,1.2841714316625306,NA
"Participación porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Servicios relacionados con las actividades agropecuarias y forestales",0.05887857723773571,0.10393028546400893,0.03834281150520754,0.08767829678434447,0.022998581971470308,NA,0.3926332783478436,0.6556318891354244,0.2635209408005462,0.29326082655293756,0.24934499988548045,NA
Participación porcentual|Industrias manufactureras,7.221550222609998,15.195144691924531,3.1209694928394236,3.741770208612752,2.93491332893764,NA,4.7793896041337165,8.98047388136623,2.7598600326900478,1.887089962077681,3.00366455413155,NA
Participación porcentual|Comercio al por mayor,3.0642217251415347,5.3830228696563935,1.8717317727167286,1.2459629899543654,2.027452232415395,NA,1.2723298125720213,1.470674665766527,1.176982214205385,0.9167296566800689,1.2493624628452895,NA
Participación porcentual|Comercio al por menor,0.28425093589838263,0.21620057010034946,0.31924720009505464,0.49579455895984104,0.2691838628468546,NA,0.30250578174007736,0.2742184685091233,0.3161039534968778,0.38741186935212407,0.29182717311961004,NA
"Participación porcentual|Transportes, correos y almacenamiento",2.5340598794096088,4.7386041610043135,1.4003288082067509,2.7567239428213943,1.0025080834505486,NA,2.3294512689289806,4.139954169117583,1.4591130645918708,2.3564452108797194,1.177541172280208,NA
Participación porcentual|Servicios financieros y de seguros,13.066396705152135,5.871176558181441,16.76668284268647,4.9315450801866945,20.009784019985023,NA,12.65837849945956,4.850221434900016,16.41188665348845,4.613817988203991,20.006088031115425,NA
Participación porcentual|Servicios financieros y de seguros|Instituciones de intermediación crediticia y financiera no bursátil,99.33382822001396,97.81433230925906,99.60746139488137,97.78695363852333,99.73072243330013,NA,99.43785821343367,98.00370591417595,99.64160330460473,97.91261169949234,99.76331345487803,NA
"Participación porcentual|Servicios financieros y de seguros|Compañías de fianzas, seguros y pensiones",0.6661717799860535,2.1856676907409605,0.3925386051186269,2.213046361476688,0.26927756669987946,NA,0.5621417865663255,1.99629408582404,0.3583966953952742,2.087388300507665,0.23668654512196816,NA
"Participación porcentual|Servicios profesionales, científicos y técnicos",0.16585000728965596,0.08108941044454993,0.20943984263988208,0.8149096495825203,0.040570059921260664,NA,0.16031589255768802,0.19766983129960103,0.1423592463870753,0.2188876700292691,0.11863882647239778,NA
"Participación porcentual|Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",0.35869281171531237,0.3488913624415434,0.36373340340460814,1.3092464979240013,0.1017865255632836,NA,0.23659783420624525,0.265650417811552,0.22263178452813515,0.44034111725724484,0.14814181832435117,NA
"Participación porcentual|Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.46924477181473645,0.585247803087941,0.40958788852772277,1.1075703246997384,0.21344411613630254,NA,0.37255206425849535,0.5654795451700221,0.27980868489891053,1.0163225462638772,0.06098908335254876,NA
Participación porcentual|Servicios de alojamiento temporal y de preparación de alimentos y bebidas,0.16508703770656077,0.24756146717657126,0.122672909738924,0.2007126017985673,0.10076785178470916,NA,0.0992584378596054,0.1422541460075788,0.07858970133352117,0.15230641455864796,0.055632191464995706,NA
Participación porcentual|Otros<C2>,0.6226538518870653,0.9092201389862449,0.4752813965655676,1.0384861105608079,0.3158450784844463,NA,0.6888438878937245,0.9149250344165512,0.5801630020035919,0.898240152789717,0.4718422891218232,NA
Distribución porcentual|Total,100,33.96158049852786,66.03841950147213,14.231120684399015,51.827804922543,-0.020506105469874844,100,32.46511711819966,67.53488288180033,15.798525801863313,51.75841068331289,-0.022053603375875707
"Distribución porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",100,31.310499540548953,68.68950045945104,16.26743965491108,52.500939754317294,-0.07887894977729272,100,32.92750128390457,67.07249871609541,17.85007637059802,49.28522699341126,-0.06280464791386792
"Distribución porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Agricultura",100,24.881607180437946,75.11839281956203,18.017511735047854,57.09867144914459,NS,100,24.66190331894153,75.33809668105847,20.02743217534929,55.30849762748346,NS
"Distribución porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Cría y explotación de animales",100,47.68348428472737,52.31651571527263,13.866850856819305,38.47045858799222,-0.020793729538898163,100,49.44706469804403,50.55293530195596,14.651339423187098,35.95777068822907,-0.05617480946020952
"Distribución porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Aprovechamiento forestal",100,23.10299936071724,76.89700063928275,8.839804721962084,68.0549330811589,NS,100.00000000000001,23.323934062326476,76.67606593767353,10.506034729540524,66.16782354393568,NS
"Distribución porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Pesca, caza y captura",99.99999999999999,36.104621517143876,63.89537848285611,20.60558416690241,46.10299371405603,-2.8131993981023222,100,55.19498677935081,44.80501322064917,20.402860983558526,26.440556598099487,-2.0384043610088343
"Distribución porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Servicios relacionados con las actividades agropecuarias y forestales",100,55.268134998078565,44.73186500192144,24.224454273507494,20.507410728413944,0,100,54.983418527631365,45.01658147236863,13.332359835879881,31.298989659610196,0.38523197687856414
Distribución porcentual|Industrias manufactureras,100,71.45988239836171,28.5401176016383,7.373705336194641,21.063360468020946,0.10305179742271389,100,61.001960602526076,38.998039397473924,6.237875947701751,32.528192180270956,0.2319712695012175
Distribución porcentual|Comercio al por mayor,100,59.661467384449104,40.33853261555089,5.786607911839736,34.29203504734824,0.25988965636291644,100.00000000000001,37.52613889504123,62.473861104958786,11.38303684413081,50.824098284344274,0.26672597648370266
Distribución porcentual|Comercio al por menor,100,25.831095479367292,74.16890452063271,24.822124792399062,49.08060790663779,0.2661718215958746,100,29.42930427614562,70.57069572385437,20.232791514598528,49.931312347124994,0.40659186213084747
"Distribución porcentual|Transportes, correos y almacenamiento",100,63.50697865202025,36.49302134797978,15.48158804084919,20.503774912553663,0.5076583945769254,100,57.69775000538076,42.302249994619245,15.981600886580079,26.163955608056487,0.15669349998267615
Distribución porcentual|Servicios financieros y de seguros,100,15.260093490283106,84.73990650971687,5.371137489574171,79.36872009412386,NS,100,12.439429500386181,87.56057049961382,5.758361747111124,81.8022087525027,0
Distribución porcentual|Servicios financieros y de seguros|Instituciones de intermediación crediticia y financiera no bursátil,100,15.02666193859797,84.973338061402,5.28749552987932,79.6858425315227,0,100,12.260020603815407,87.7399793961846,5.670036019479876,82.06994337670471,0
"Distribución porcentual|Servicios financieros y de seguros|Compañías de fianzas, seguros y pensiones",100,50.067406488002995,49.932593511997005,17.8431098935803,32.082139263654994,NS,100,44.17525993634006,55.82474006365993,21.382393602921457,34.44234646073848,0
"Distribución porcentual|Servicios profesionales, científicos y técnicos",100,16.604910577911745,83.39508942208823,69.92509532927507,12.678064871125999,0.7919292216871812,99.99999999999999,40.02955740378072,59.97044259621928,21.570553283872265,38.30285947062323,0.09702984172378204
"Distribución porcentual|Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",100,33.03356438657539,66.96643561342461,51.94429413983105,14.707214692733405,0.3149267808601511,100,36.45160977776634,63.54839022223365,29.403229856050267,32.40767227615687,1.737488090026524
"Distribución porcentual|Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",100,42.35729744902721,57.6427025509728,33.59007474138464,23.574775207819357,0.477852601768797,100,49.277299532430156,50.722700467569844,43.09840022527575,8.473172815839625,-0.8488725735455328
Distribución porcentual|Servicios de alojamiento temporal y de preparación de alimentos y bebidas,100,50.92815773213586,49.071842267864135,17.302177680068812,31.635291524490665,0.13437306330466034,100,46.52800920781971,53.471990792180286,24.241937230540813,29.009461312807616,0.22059224883186235
Distribución porcentual|Otros<C2>,100,49.59184440517149,50.4081555948285,23.735211986038625,26.289979679441892,0.38296392934798956,100,43.120290270019524,56.87970972998049,20.600996074029727,35.45332608349949,0.8253875724512674
