Descriptores,2013|Valor bruto de la producción<P>,2013|Consumo intermedio<P>,2013|Producto interno bruto|Total<P>,"2013|Producto interno bruto|Remuneraciones<C1,P>",2013|Producto interno bruto|Excedente bruto de operación<P>,2013|Producto interno bruto|Impuestos netos de subsidios sobre la producción<P>,2018|Valor bruto de la producción<P>,2018|Consumo intermedio<P>,2018|Producto interno bruto|Total<P>,"2018|Producto interno bruto|Remuneraciones<C1,P>",2018|Producto interno bruto|Excedente bruto de operación<P>,2018|Producto interno bruto|Impuestos netos de subsidios sobre la producción<P>
Millones de pesos a precios corrientes|Industrias manufactureras,22592.522,16144.59,6447.932,1665.906,4758.744,23.282,25102.247,15312.863,9789.384,1565.847,8165.307,58.23
Millones de pesos a precios corrientes|Comercio al por mayor,9586.376,5719.373,3867.003,554.726,3287.363,24.914,6682.514,2507.689,4174.824,760.673,3396.327,17.824
Millones de pesos a precios corrientes|Comercio al por menor,889.275,229.71,659.566,220.737,436.462,2.367,1588.817,467.578,1121.239,321.462,793.317,6.46
"Millones de pesos a precios corrientes|Transportes, correos y almacenamiento",7927.772,5034.688,2893.084,1227.345,1625.493,40.246,12234.713,7059.154,5175.559,1955.303,3201.085,19.171
Millones de pesos a precios corrientes|Información en medios masivos,59.333,31.929,27.404,20.449,6.955,NS,29.944,8.704,21.24,19.606,1.634,0
Millones de pesos a precios corrientes|Servicios financieros y de seguros,40878.045,6238.028,34640.017,2195.616,32444.381,NS,66484.167,8270.251,58213.916,3828.399,54385.517,0
Millones de pesos a precios corrientes|Servicios financieros y de seguros|Uniones de crédito e instituciones de ahorro,40582.745,6086.148,34496.597,2143.328,32353.269,0,66006.61,8055.704,57950.905,3733.47,54217.435,0
Millones de pesos a precios corrientes|Servicios financieros y de seguros|Otras instituciones de intermediación crediticia y financiera no bursátil,22.982,15.537,7.445,3.698,3.747,0,103.822,49.448,54.374,15.015,39.359,0
Millones de pesos a precios corrientes|Servicios financieros y de seguros|Instituciones de seguros y fianzas,263.552,130.628,132.924,46.018,86.886,NS,257.228,92.537,164.691,63.559,101.132,0
Millones de pesos a precios corrientes|Servicios financieros y de seguros|Servicios relacionados con los seguros y las fianzas,8.766,5.715,3.051,2.572,0.479,0,116.507,72.561,43.946,16.355,27.591,0
Millones de pesos a precios corrientes|Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,213.311,128.629,84.682,39.973,44.704,NS,157.47,47.854,109.616,22.894,84.589,2.133
"Millones de pesos a precios corrientes|Servicios profesionales, científicos y técnicos",518.86,86.156,432.703,362.813,65.781,4.109,842.009,337.052,504.957,181.626,322.514,0.817
"Millones de pesos a precios corrientes|Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",1122.166,370.691,751.474,582.901,165.039,3.534,1242.656,452.968,789.688,365.381,402.716,21.591
Millones de pesos a precios corrientes|Servicios educativos,435.539,93.024,342.515,160.584,178.572,3.359,320.353,81.983,238.37,111.549,125.906,0.915
Millones de pesos a precios corrientes|Servicios de salud y de asistencia social,209.303,119.01,90.293,35.405,52.488,2.4,553.907,242.995,310.912,142.69,166.435,1.787
"Millones de pesos a precios corrientes|Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",1468.026,621.816,846.21,493.111,346.084,7.015,1956.713,964.215,992.498,843.312,165.796,-16.61
Millones de pesos a precios corrientes|Servicios de alojamiento temporal y de preparación de alimentos y bebidas,516.473,263.03,253.443,89.361,163.388,0.694,521.324,242.562,278.762,126.379,151.233,1.15
Millones de pesos a precios corrientes|Otros servicios excepto actividades gubernamentales,553.462,366.161,187.301,92.855,94.399,NS,1482.235,628.536,853.699,219.843,617.562,16.294
Participación porcentual|Total,100,100,99.99999999999999,99.99999999999999,100.00000000000001,NA,100.00000000000001,100.00000000000001,100,100.00000000000004,100.00000000000001,NA
"Participación porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",72.047992051375,66.42384096699612,74.94032444257886,82.35727803489931,72.98374484047454,NA,77.10037691638988,78.19847840563523,76.57250166237613,87.11240741190767,73.4162723977718,NA
"Participación porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Cultivo de semillas oleaginosas, leguminosas y cereales",24.827145727931534,20.353313238081544,26.866437456376,27.465306278538716,26.639478176137636,NA,19.914857217294678,15.497475268018244,22.083456160088975,23.27140451622418,21.624198829564868,NA
"Participación porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Cultivo de hortalizas",6.330271318931455,5.426513971794542,6.742227932577272,1.7002393776311733,8.294100962265704,NA,7.487996095188152,6.126353593240621,8.156459117877617,3.008984606024871,10.010053503400638,NA
"Participación porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Cultivo de frutales y nueces",14.107112389907007,10.681781530367655,15.66846921426106,12.557178088657631,16.608360650406034,NA,13.46668641166212,9.513607356514928,15.407347907138803,9.68785885565918,17.458590841056324,NA
"Participación porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Cultivo en invernaderos y viveros, y floricultura",2.429947735063782,1.7345159885939283,2.7469440042560644,0.7218089243641359,3.3702003262933613,NA,6.605306231717304,4.5246177159076675,7.626766220344303,0.7614895648355569,10.103208362190433,NA
"Participación porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Otros cultivos",14.729076912625047,11.410185433184603,16.241915839201543,26.694627648552824,12.97811141250579,NA,13.894273252767247,10.301934394568278,15.657838717448248,32.125198822471084,9.673140942195012,NA
"Participación porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Explotación de bovinos",20.12551804407797,30.11412098305727,15.572447405338075,14.871585300938603,15.76561401027311,NA,19.144531053865773,26.913514865929027,15.330550222032546,17.832799388081032,14.40415260624684,NA
"Participación porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Explotación avícola",2.8084151382989604,5.279893792978299,1.6818494948714757,1.0693039936758426,1.8690553907453469,NA,3.27555652933199,5.786762447919441,2.0427452029128292,2.1130580804977646,2.014596379037358,NA
"Participación porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Otros<C2>",14.642512733164255,14.999675061942161,14.479708653118525,14.919950387641064,14.475079071373017,NA,16.210793208172742,21.335734357901796,13.694836452156684,11.199206166206334,14.712058536308543,NA
Participación porcentual|Minería,0.11297408699549819,0.14627902676873794,0.09584635435673794,0.18723607836226508,0.07019553549969265,NA,0.16858273500113258,0.2597669482599875,0.12474899995252442,0.23233841653690937,0.09032540733410159,NA
"Participación porcentual|Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final",0.00893690942116602,0.016514779703718157,0.005039837783911596,0.014788238384102316,0.0023857520179978537,NA,0.0075442314223823905,0.014747106171527882,0.004081692326431011,0.008371013819735628,0.003183801505076119,NA
Participación porcentual|Construcción,0.03056398089854693,0.05111818387176344,0.019993570156926863,0.05197895089381771,0.010679967863883236,NA,0.028364566661014477,0.0480381536206343,0.018907153284034073,0.03496880751417348,0.011901190547311903,NA
Participación porcentual|Industrias manufactureras,7.221550222609998,15.195144691924524,3.1209694928394227,3.741770208612752,2.9349133289376392,NA,4.779389604133717,8.98047388136623,2.7598600326900486,1.8870899620776813,3.00366455413155,NA
Participación porcentual|Comercio al por mayor,3.0642217251415347,5.3830228696563935,1.8717317727167284,1.2459629899543654,2.0274522324153947,NA,1.2723298125720215,1.4706746657665268,1.1769822142053852,0.916729656680069,1.2493624628452895,NA
Participación porcentual|Comercio al por menor,0.28425093589838263,0.21620057010034938,0.31924720009505464,0.49579455895984104,0.26918386284685447,NA,0.3025057817400774,0.2742184685091233,0.3161039534968778,0.3874118693521241,0.2918271731196101,NA
"Participación porcentual|Transportes, correos y almacenamiento",2.5340598794096088,4.7386041610043135,1.4003288082067507,2.7567239428213943,1.0025080834505484,NA,2.329451268928981,4.139954169117582,1.45911306459187,2.35644521087972,1.1775411722802083,NA
Participación porcentual|Información en medios masivos,0.018965405928969923,0.030050981672179563,0.01326442647159285,0.0459302379581574,0.004289647239817336,NA,0.00570124438901177,0.005104610979593251,0.005988055777243597,0.023628289223975918,0.0006010715598922343,NA
Participación porcentual|Servicios financieros y de seguros,13.066396705152135,5.87117655818144,16.76668284268647,4.9315450801866945,20.00978401998502,NA,12.658378499459564,4.850221434900017,16.411886653488455,4.613817988203992,20.00608803111543,NA
Participación porcentual|Servicios financieros y de seguros|Uniones de crédito e instituciones de ahorro,99.27760733175963,97.56526320779108,99.5859689112747,97.61852710127818,99.71917343815485,NA,99.28169726231786,97.40580015194547,99.54819952151178,97.52041118544646,99.69094308508676,NA
Participación porcentual|Servicios financieros y de seguros|Otras instituciones de intermediación crediticia y financiera no bursátil,0.05622088825431841,0.24906910146796649,0.021492483606658508,0.1684265372451285,0.01154899514527081,NA,0.15616095111580675,0.5979057622304846,0.0934037830929387,0.39220051404588147,0.07237036979126377,NA
Participación porcentual|Servicios financieros y de seguros|Instituciones de seguros y fianzas,0.6447275059264698,2.0940521977314077,0.3837308727500688,2.0959038374652037,0.26780119395512775,NA,0.3869010719982731,1.1189155522904524,0.2829062890851517,1.6601979668492959,0.18595360488750282,NA
Participación porcentual|Servicios financieros y de seguros|Servicios relacionados con los seguros y las fianzas,0.021444274059583816,0.09161549300955323,0.008807732368558108,0.1171425240114847,0.0014763727447517263,NA,0.17524071456805249,0.8773785335335881,0.07549040631012242,0.42719033365836906,0.05073294023446533,NA
Participación porcentual|Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.06818336242563766,0.12106460396181304,0.04098812433771099,0.08978284521988486,0.0275705410314412,NA,0.029981797820521086,0.028064763532863198,0.03090334739627655,0.027590842267352065,0.03111663662609344,NA
"Participación porcentual|Servicios profesionales, científicos y técnicos",0.16585000728965596,0.08108941044454991,0.20943984263988205,0.8149096495825203,0.04057005992126066,NA,0.16031589255768805,0.19766983129960106,0.14235924638707534,0.21888767002926912,0.1186388264723978,NA
"Participación porcentual|Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",0.35869281171531237,0.3488913624415434,0.36373340340460814,1.3092464979240013,0.10178652556328359,NA,0.2365978342062453,0.2656504178115521,0.2226317845281352,0.44034111725724495,0.1481418183243512,NA
Participación porcentual|Servicios educativos,0.13921722961327881,0.08755383117999592,0.16578616748254957,0.360685673249193,0.11013252299379256,NA,0.06099421399121986,0.04808024546134826,0.06720216879757979,0.13443395055826227,0.04631539136893286,NA
Participación porcentual|Servicios de salud y de asistencia social,0.06690231956000971,0.1120109802971795,0.04370428689400952,0.0795227187103801,0.03237162397165971,NA,0.10546216857414983,0.14250805178841786,0.08765360970830677,0.1719637146470021,0.06122442937123296,NA
"Participación porcentual|Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.46924477181473645,0.585247803087941,0.4095878885277227,1.1075703246997384,0.21344411613630251,NA,0.3725520642584954,0.5654795451700222,0.27980868489891053,1.0163225462638772,0.060989083352548774,NA
Participación porcentual|Servicios de alojamiento temporal y de preparación de alimentos y bebidas,0.16508703770656077,0.24756146717657115,0.12267290973892399,0.2007126017985673,0.10076785178470914,NA,0.09925843785960542,0.14225414600757882,0.07858970133352118,0.152306414558648,0.05563219146499572,NA
Participación porcentual|Otros servicios excepto actividades gubernamentales,0.17691055704395817,0.3446277515308572,0.09065862908212827,0.20856136778300724,0.05821948786616175,NA,0.2822129300342927,0.368615154602179,0.24067797476119576,0.2649451182223063,0.22717436080918224,NA
Distribución porcentual|Total,100,33.96158049852786,66.03841950147213,14.231120684399015,51.82780492254301,-0.020506105469874854,100,32.46511711819966,67.53488288180033,15.798525801863315,51.75841068331289,-0.022053603375875717
"Distribución porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",100,31.310499540548953,68.68950045945105,16.26743965491108,52.50093975431728,-0.07887894977729272,99.99999999999999,32.92750128390458,67.07249871609542,17.850076370598025,49.28522699341127,-0.06280464791386794
"Distribución porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Cultivo de semillas oleaginosas, leguminosas y cereales",99.99999999999999,25.668371699798097,74.3316283002019,17.996036168874706,56.3334043364628,NS,100,25.62374066843903,74.37625933156096,20.858615421301554,53.515500324061044,NS
"Distribución porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Cultivo de hortalizas",100,26.840376132461827,73.15962386753822,4.369250555154314,68.78821980882174,NS,100,26.93985323212367,73.06014676787633,7.17289436756152,65.88515176287571,NS
"Distribución porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Cultivo de frutales y nueces",100,23.708035099947583,76.29196490005242,14.480152361964436,61.809569373586655,NS,100,23.26179647095127,76.73820352904873,12.841245066145934,63.89475378600956,NS
"Distribución porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Cultivo en invernaderos y viveros, y floricultura",100,22.349683197000733,77.65031680299928,4.8321957505648365,72.81583950860731,NS,100,22.555253371045133,77.44474662895487,2.0578375038024865,75.38468316598062,NS
"Distribución porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Otros cultivos",100,24.255328957993303,75.74467104200669,29.4827195865162,46.25972485816493,NS,100,24.41415623780738,75.58584376219261,41.27148228408032,34.31219023854961,NS
"Distribución porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Explotación de bovinos",100,46.85038015612719,53.14961984387282,12.02069014700808,41.1273662387402,NS,100,46.28971024721535,53.710289752784654,16.627037250647295,37.0817090713362,NS
"Distribución porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Explotación avícola",99.99999999999999,58.864556711984264,41.135443288015736,6.193827241799136,34.94040575726223,NS,100,58.171375223488276,41.828624776511724,11.51506553913345,30.312357290078438,NS
"Distribución porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Otros<C2>",100,32.07422986026201,67.92577013973802,16.575665461809614,51.90060395466748,-0.5504992767390825,100,43.33732541284122,56.66267458715879,12.331702883981738,44.728665352215124,-0.39769364903807136
Distribución porcentual|Minería,100,43.97350821742659,56.0264917825734,23.585755800382472,32.20278753353842,0.23794844865250725,100,50.02507758959509,49.97492241040491,21.773311889843104,27.73178124025894,0.4698292803028592
"Distribución porcentual|Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final",100,62.75861082299081,37.24138917700919,23.548767838620837,13.835687971672806,NS,100,63.461272886295966,36.538727113704034,17.52990734436996,21.842981293625392,-2.8341615242913134
Distribución porcentual|Construcción,100,56.80066095650446,43.19933904349554,24.20230288959307,18.110183122601157,0.8868530313013104,100,54.98283481903125,45.017165180968746,19.476962732252176,21.716767801525076,3.823434647191494
Distribución porcentual|Industrias manufactureras,100,71.45988239836169,28.540117601638297,7.373705336194641,21.063360468020942,0.10305179742271389,100.00000000000001,61.001960602526076,38.99803939747394,6.237875947701752,32.528192180270956,0.23197126950121755
Distribución porcentual|Comercio al por mayor,100,59.661467384449125,40.338532615550896,5.786607911839737,34.29203504734825,0.2598896563629165,100.00000000000001,37.526138895041214,62.473861104958786,11.38303684413081,50.82409828434427,0.26672597648370266
Distribución porcentual|Comercio al por menor,100,25.83109547936729,74.16890452063272,24.822124792399062,49.08060790663778,0.2661718215958746,100,29.429304276145615,70.57069572385436,20.232791514598528,49.931312347124994,0.40659186213084747
"Distribución porcentual|Transportes, correos y almacenamiento",100,63.50697865202027,36.493021347979784,15.481588040849193,20.503774912553663,0.5076583945769255,100,57.697750005380726,42.30224999461922,15.981600886580079,26.163955608056487,0.15669349998267615
Distribución porcentual|Información en medios masivos,99.99999999999999,53.81265431079243,46.18734568920756,34.46479141515553,11.722554274052024,NS,100,29.067652952177397,70.9323470478226,65.4755543681539,5.456792679668715,0
Distribución porcentual|Servicios financieros y de seguros,100,15.260093490283106,84.73990650971687,5.371137489574171,79.36872009412386,NS,100,12.439429500386181,87.56057049961382,5.758361747111124,81.8022087525027,0
Distribución porcentual|Servicios financieros y de seguros|Uniones de crédito e instituciones de ahorro,100,14.99688679018632,85.00311320981366,5.281377590402029,79.72173561941165,0,100,12.204390308894515,87.79560969110548,5.656206741199222,82.13940294990626,0
Distribución porcentual|Servicios financieros y de seguros|Otras instituciones de intermediación crediticia y financiera no bursátil,100,67.60508223827344,32.39491776172657,16.090853711600385,16.304064050126186,0,100,47.62782580406515,52.372174195934846,14.462209797917417,37.90996439801743,0
Distribución porcentual|Servicios financieros y de seguros|Instituciones de seguros y fianzas,100,49.56424538610976,50.43575461389023,17.460690869354053,32.96747510927634,NS,100,35.97475462581524,64.02524537418475,24.709211622394573,39.31603375179019,0
Distribución porcentual|Servicios financieros y de seguros|Servicios relacionados con los seguros y las fianzas,100,65.19507186858316,34.80492813141684,29.340634268765683,5.464293862651152,0,100.00000000000001,62.28055186801316,37.719448131986844,14.037357027089236,23.682091104897605,0
Distribución porcentual|Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,100,60.301298538271034,39.698701461728966,18.73932965841042,20.957027804912318,NS,100,30.38929954912047,69.61070045087953,14.538642281069407,53.717514447196294,1.3545437226138313
"Distribución porcentual|Servicios profesionales, científicos y técnicos",100,16.604910577911745,83.39508942208823,69.92509532927507,12.678064871125999,0.7919292216871812,99.99999999999999,40.02955740378072,59.97044259621928,21.570553283872265,38.30285947062323,0.09702984172378204
"Distribución porcentual|Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",100,33.03356438657539,66.96643561342461,51.94429413983105,14.707214692733405,0.3149267808601511,100,36.45160977776634,63.54839022223365,29.403229856050267,32.40767227615687,1.737488090026524
Distribución porcentual|Servicios educativos,100,21.358466145560588,78.6415338544394,36.870158667870676,41.00014727491266,0.7712279116560654,100,25.591456924080628,74.40854307591937,34.82065096939939,39.30226968375511,0.2856224227648875
Distribución porcentual|Servicios de salud y de asistencia social,100,56.86006029536128,43.139939704638735,16.915667716181805,25.077609016593165,1.1466629718637573,100,43.86919645355628,56.130803546443715,25.760642129454943,30.047544082309848,0.3226173346789262
"Distribución porcentual|Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",100,42.35729744902721,57.6427025509728,33.59007474138464,23.574775207819357,0.477852601768797,100,49.277299532430156,50.72270046756984,43.09840022527575,8.473172815839625,-0.8488725735455328
Distribución porcentual|Servicios de alojamiento temporal y de preparación de alimentos y bebidas,100,50.928157732135844,49.071842267864135,17.302177680068812,31.635291524490665,0.13437306330466034,100,46.52800920781971,53.471990792180286,24.241937230540813,29.009461312807616,0.22059224883186235
Distribución porcentual|Otros servicios excepto actividades gubernamentales,100,66.15830802417103,33.84169197582895,16.777189810587785,17.056010168279784,0.008491996961382805,100,42.404627471352384,57.595372528647616,14.831858645896231,41.66422800702993,1.0992858757214614
